year,period,periodName,latest,value,footnotes,series_id
2015,M12,December,,236.289,[{}],CWUR0000SA0L1E
2015,M11,November,,236.548,[{}],CWUR0000SA0L1E
2015,M10,October,,236.478,[{}],CWUR0000SA0L1E
2015,M09,September,,235.903,[{}],CWUR0000SA0L1E
2015,M08,August,,235.263,[{}],CWUR0000SA0L1E
2015,M07,July,,234.966,[{}],CWUR0000SA0L1E
2015,M06,June,,234.885,[{}],CWUR0000SA0L1E
2015,M05,May,,234.722,[{}],CWUR0000SA0L1E
2015,M04,April,,234.497,[{}],CWUR0000SA0L1E
2015,M03,March,,233.75,[{}],CWUR0000SA0L1E
2015,M02,February,,232.738,[{}],CWUR0000SA0L1E
2015,M01,January,,231.886,[{}],CWUR0000SA0L1E
2014,M12,December,,231.5,[{}],CWUR0000SA0L1E
2014,M11,November,,231.961,[{}],CWUR0000SA0L1E
2014,M10,October,,232.259,[{}],CWUR0000SA0L1E
2014,M09,September,,231.786,[{}],CWUR0000SA0L1E
2014,M08,August,,231.178,[{}],CWUR0000SA0L1E
2014,M07,July,,230.962,[{}],CWUR0000SA0L1E
2014,M06,June,,231.011,[{}],CWUR0000SA0L1E
2014,M05,May,,230.909,[{}],CWUR0000SA0L1E
2014,M04,April,,230.495,[{}],CWUR0000SA0L1E
2014,M03,March,,229.91,[{}],CWUR0000SA0L1E
2014,M02,February,,229.112,[{}],CWUR0000SA0L1E
2014,M01,January,,228.506,[{}],CWUR0000SA0L1E
2013,M12,December,,228.249,[{}],CWUR0000SA0L1E
2013,M11,November,,228.438,[{}],CWUR0000SA0L1E
2013,M10,October,,228.354,[{}],CWUR0000SA0L1E
2013,M09,September,,227.929,[{}],CWUR0000SA0L1E
2013,M08,August,,227.449,[{}],CWUR0000SA0L1E
2013,M07,July,,226.944,[{}],CWUR0000SA0L1E
2013,M06,June,,226.76,[{}],CWUR0000SA0L1E
2013,M05,May,,226.635,[{}],CWUR0000SA0L1E
2013,M04,April,,226.447,[{}],CWUR0000SA0L1E
2013,M03,March,,226.257,[{}],CWUR0000SA0L1E
2013,M02,February,,225.632,[{}],CWUR0000SA0L1E
2013,M01,January,,224.871,[{}],CWUR0000SA0L1E
2012,M12,December,,224.383,[{}],CWUR0000SA0L1E
2012,M11,November,,224.558,[{}],CWUR0000SA0L1E
2012,M10,October,,224.558,[{}],CWUR0000SA0L1E
2012,M09,September,,224.033,[{}],CWUR0000SA0L1E
2012,M08,August,,223.476,[{}],CWUR0000SA0L1E
2012,M07,July,,223.231,[{}],CWUR0000SA0L1E
2012,M06,June,,223.203,[{}],CWUR0000SA0L1E
2012,M05,May,,223.006,[{}],CWUR0000SA0L1E
2012,M04,April,,222.7,[{}],CWUR0000SA0L1E
2012,M03,March,,222.169,[{}],CWUR0000SA0L1E
2012,M02,February,,221.318,[{}],CWUR0000SA0L1E
2012,M01,January,,220.736,[{}],CWUR0000SA0L1E
2024,M11,November,true,313.039,[{}],CWUR0000SA0L1E
2024,M10,October,,312.914,[{}],CWUR0000SA0L1E
2024,M09,September,,312.237,[{}],CWUR0000SA0L1E
2024,M08,August,,311.067,[{}],CWUR0000SA0L1E
2024,M07,July,,310.228,[{}],CWUR0000SA0L1E
2024,M06,June,,309.964,[{}],CWUR0000SA0L1E
2024,M05,May,,309.690,[{}],CWUR0000SA0L1E
2024,M04,April,,309.192,[{}],CWUR0000SA0L1E
2024,M03,March,,308.358,[{}],CWUR0000SA0L1E
2024,M02,February,,306.697,[{}],CWUR0000SA0L1E
2024,M01,January,,304.794,[{}],CWUR0000SA0L1E
2023,M12,December,,303.323,[{}],CWUR0000SA0L1E
2023,M11,November,,303.034,[{}],CWUR0000SA0L1E
2023,M10,October,,302.768,[{}],CWUR0000SA0L1E
2023,M09,September,,302.026,[{}],CWUR0000SA0L1E
2023,M08,August,,301.393,[{}],CWUR0000SA0L1E
2023,M07,July,,300.535,[{}],CWUR0000SA0L1E
2023,M06,June,,300.176,[{}],CWUR0000SA0L1E
2023,M05,May,,299.381,[{}],CWUR0000SA0L1E
2023,M04,April,,298.232,[{}],CWUR0000SA0L1E
2023,M03,March,,296.808,[{}],CWUR0000SA0L1E
2023,M02,February,,295.381,[{}],CWUR0000SA0L1E
2023,M01,January,,293.521,[{}],CWUR0000SA0L1E
2022,M12,December,,291.691,[{}],CWUR0000SA0L1E
2022,M11,November,,291.255,[{}],CWUR0000SA0L1E
2022,M10,October,,290.934,[{}],CWUR0000SA0L1E
2022,M09,September,,290.224,[{}],CWUR0000SA0L1E
2022,M08,August,,289.250,[{}],CWUR0000SA0L1E
2022,M07,July,,287.673,[{}],CWUR0000SA0L1E
2022,M06,June,,286.616,[{}],CWUR0000SA0L1E
2022,M05,May,,284.413,[{}],CWUR0000SA0L1E
2022,M04,April,,282.873,[{}],CWUR0000SA0L1E
2022,M03,March,,281.553,[{}],CWUR0000SA0L1E
2022,M02,February,,280.639,[{}],CWUR0000SA0L1E
2022,M01,January,,278.665,[{}],CWUR0000SA0L1E
2021,M12,December,,276.538,[{}],CWUR0000SA0L1E
2021,M11,November,,275.218,[{}],CWUR0000SA0L1E
2021,M10,October,,273.968,[{}],CWUR0000SA0L1E
2021,M09,September,,272.092,[{}],CWUR0000SA0L1E
2021,M08,August,,271.847,[{}],CWUR0000SA0L1E
2021,M07,July,,271.460,[{}],CWUR0000SA0L1E
2021,M06,June,,270.573,[{}],CWUR0000SA0L1E
2021,M05,May,,267.936,[{}],CWUR0000SA0L1E
2021,M04,April,,265.831,[{}],CWUR0000SA0L1E
2021,M03,March,,263.450,[{}],CWUR0000SA0L1E
2021,M02,February,,262.446,[{}],CWUR0000SA0L1E
2021,M01,January,,261.544,[{}],CWUR0000SA0L1E
2020,M12,December,,261.052,[{}],CWUR0000SA0L1E
2020,M11,November,,261.384,[{}],CWUR0000SA0L1E
2020,M10,October,,261.236,[{}],CWUR0000SA0L1E
2020,M09,September,,260.955,[{}],CWUR0000SA0L1E
2020,M08,August,,260.606,[{}],CWUR0000SA0L1E
2020,M07,July,,259.318,[{}],CWUR0000SA0L1E
2020,M06,June,,257.593,[{}],CWUR0000SA0L1E
2020,M05,May,,257.159,[{}],CWUR0000SA0L1E
2020,M04,April,,257.569,[{}],CWUR0000SA0L1E
2020,M03,March,,258.693,[{}],CWUR0000SA0L1E
2020,M02,February,,258.445,[{}],CWUR0000SA0L1E
2020,M01,January,,257.223,[{}],CWUR0000SA0L1E
2019,M12,December,,256.257,[{}],CWUR0000SA0L1E
2019,M11,November,,256.324,[{}],CWUR0000SA0L1E
2019,M10,October,,256.315,[{}],CWUR0000SA0L1E
2019,M09,September,,255.726,[{}],CWUR0000SA0L1E
2019,M08,August,,255.390,[{}],CWUR0000SA0L1E
2019,M07,July,,254.726,[{}],CWUR0000SA0L1E
2019,M06,June,,254.301,[{}],CWUR0000SA0L1E
2019,M05,May,,253.749,[{}],CWUR0000SA0L1E
2019,M04,April,,253.599,[{}],CWUR0000SA0L1E
2019,M03,March,,253.190,[{}],CWUR0000SA0L1E
2019,M02,February,,252.615,[{}],CWUR0000SA0L1E
2019,M01,January,,251.657,[{}],CWUR0000SA0L1E
2018,M12,December,,250.619,[{}],CWUR0000SA0L1E
2018,M11,November,,250.726,[{}],CWUR0000SA0L1E
2018,M10,October,,250.663,[{}],CWUR0000SA0L1E
2018,M09,September,,249.954,[{}],CWUR0000SA0L1E
2018,M08,August,,249.601,[{}],CWUR0000SA0L1E
2018,M07,July,,249.405,[{}],CWUR0000SA0L1E
2018,M06,June,,249.229,[{}],CWUR0000SA0L1E
2018,M05,May,,249.029,[{}],CWUR0000SA0L1E
2018,M04,April,,248.681,[{}],CWUR0000SA0L1E
2018,M03,March,,248.301,[{}],CWUR0000SA0L1E
2018,M02,February,,247.548,[{}],CWUR0000SA0L1E
2018,M01,January,,246.508,[{}],CWUR0000SA0L1E
2017,M12,December,,245.462,[{}],CWUR0000SA0L1E
2017,M11,November,,245.273,[{}],CWUR0000SA0L1E
2017,M10,October,,245.367,[{}],CWUR0000SA0L1E
2017,M09,September,,244.682,[{}],CWUR0000SA0L1E
2017,M08,August,,244.234,[{}],CWUR0000SA0L1E
2017,M07,July,,243.685,[{}],CWUR0000SA0L1E
2017,M06,June,,243.754,[{}],CWUR0000SA0L1E
2017,M05,May,,243.628,[{}],CWUR0000SA0L1E
2017,M04,April,,243.460,[{}],CWUR0000SA0L1E
2017,M03,March,,243.135,[{}],CWUR0000SA0L1E
2017,M02,February,,243.041,[{}],CWUR0000SA0L1E
2017,M01,January,,242.096,[{}],CWUR0000SA0L1E
2016,M12,December,,241.218,[{}],CWUR0000SA0L1E
2016,M11,November,,241.244,[{}],CWUR0000SA0L1E
2016,M10,October,,241.276,[{}],CWUR0000SA0L1E
2016,M09,September,,240.852,[{}],CWUR0000SA0L1E
2016,M08,August,,240.433,[{}],CWUR0000SA0L1E
2016,M07,July,,239.918,[{}],CWUR0000SA0L1E
2016,M06,June,,239.970,[{}],CWUR0000SA0L1E
2016,M05,May,,239.837,[{}],CWUR0000SA0L1E
2016,M04,April,,239.395,[{}],CWUR0000SA0L1E
2016,M03,March,,238.825,[{}],CWUR0000SA0L1E
2016,M02,February,,238.068,[{}],CWUR0000SA0L1E
2016,M01,January,,237.007,[{}],CWUR0000SA0L1E
2015,M12,December,,236.289,[{}],CWUR0000SA0L1E
2015,M11,November,,236.548,[{}],CWUR0000SA0L1E
2015,M10,October,,236.478,[{}],CWUR0000SA0L1E
2015,M09,September,,235.903,[{}],CWUR0000SA0L1E
2015,M08,August,,235.263,[{}],CWUR0000SA0L1E
2015,M07,July,,234.966,[{}],CWUR0000SA0L1E
2015,M06,June,,234.885,[{}],CWUR0000SA0L1E
2015,M05,May,,234.722,[{}],CWUR0000SA0L1E
2015,M04,April,,234.497,[{}],CWUR0000SA0L1E
2015,M03,March,,233.750,[{}],CWUR0000SA0L1E
2015,M02,February,,232.738,[{}],CWUR0000SA0L1E
2015,M01,January,,231.886,[{}],CWUR0000SA0L1E
2014,M12,December,,231.500,[{}],CWUR0000SA0L1E
2014,M11,November,,231.961,[{}],CWUR0000SA0L1E
2014,M10,October,,232.259,[{}],CWUR0000SA0L1E
2014,M09,September,,231.786,[{}],CWUR0000SA0L1E
2014,M08,August,,231.178,[{}],CWUR0000SA0L1E
2014,M07,July,,230.962,[{}],CWUR0000SA0L1E
2014,M06,June,,231.011,[{}],CWUR0000SA0L1E
2014,M05,May,,230.909,[{}],CWUR0000SA0L1E
2014,M04,April,,230.495,[{}],CWUR0000SA0L1E
2014,M03,March,,229.910,[{}],CWUR0000SA0L1E
2014,M02,February,,229.112,[{}],CWUR0000SA0L1E
2014,M01,January,,228.506,[{}],CWUR0000SA0L1E
2013,M12,December,,228.249,[{}],CWUR0000SA0L1E
2013,M11,November,,228.438,[{}],CWUR0000SA0L1E
2013,M10,October,,228.354,[{}],CWUR0000SA0L1E
2013,M09,September,,227.929,[{}],CWUR0000SA0L1E
2013,M08,August,,227.449,[{}],CWUR0000SA0L1E
2013,M07,July,,226.944,[{}],CWUR0000SA0L1E
2013,M06,June,,226.760,[{}],CWUR0000SA0L1E
2013,M05,May,,226.635,[{}],CWUR0000SA0L1E
2013,M04,April,,226.447,[{}],CWUR0000SA0L1E
2013,M03,March,,226.257,[{}],CWUR0000SA0L1E
2013,M02,February,,225.632,[{}],CWUR0000SA0L1E
2013,M01,January,,224.871,[{}],CWUR0000SA0L1E
2012,M12,December,,224.383,[{}],CWUR0000SA0L1E
2012,M11,November,,224.558,[{}],CWUR0000SA0L1E
2012,M10,October,,224.558,[{}],CWUR0000SA0L1E
2012,M09,September,,224.033,[{}],CWUR0000SA0L1E
2012,M08,August,,223.476,[{}],CWUR0000SA0L1E
2012,M07,July,,223.231,[{}],CWUR0000SA0L1E
2012,M06,June,,223.203,[{}],CWUR0000SA0L1E
2012,M05,May,,223.006,[{}],CWUR0000SA0L1E
2012,M04,April,,222.700,[{}],CWUR0000SA0L1E
2012,M03,March,,222.169,[{}],CWUR0000SA0L1E
2012,M02,February,,221.318,[{}],CWUR0000SA0L1E
2012,M01,January,,220.736,[{}],CWUR0000SA0L1E
