year,period,periodName,latest,value,footnotes,series_id
2021,M03,March,,271.713,[{}],CUUR0000SA0L1E
2021,M02,February,,270.696,[{}],CUUR0000SA0L1E
2021,M01,January,,269.755,[{}],CUUR0000SA0L1E
2020,M12,December,,269.226,[{}],CUUR0000SA0L1E
2020,M11,November,,269.473,[{}],CUUR0000SA0L1E
2020,M10,October,,269.328,[{}],CUUR0000SA0L1E
2020,M09,September,,269.054,[{}],CUUR0000SA0L1E
2020,M08,August,,268.756,[{}],CUUR0000SA0L1E
2020,M07,July,,267.703,[{}],CUUR0000SA0L1E
2020,M06,June,,266.302,[{}],CUUR0000SA0L1E
2020,M05,May,,265.799,[{}],CUUR0000SA0L1E
2020,M04,April,,266.089,[{}],CUUR0000SA0L1E
2020,M03,March,,267.312,[{}],CUUR0000SA0L1E
2020,M02,February,,267.268,[{}],CUUR0000SA0L1E
2020,M01,January,,266.004,[{}],CUUR0000SA0L1E
2024,M11,November,true,321.947,[{}],CUUR0000SA0L1E
2024,M10,October,,321.758,[{}],CUUR0000SA0L1E
2024,M09,September,,321.109,[{}],CUUR0000SA0L1E
2024,M08,August,,320.017,[{}],CUUR0000SA0L1E
2024,M07,July,,319.214,[{}],CUUR0000SA0L1E
2024,M06,June,,319.003,[{}],CUUR0000SA0L1E
2024,M05,May,,318.629,[{}],CUUR0000SA0L1E
2024,M04,April,,317.978,[{}],CUUR0000SA0L1E
2024,M03,March,,317.088,[{}],CUUR0000SA0L1E
2024,M02,February,,315.419,[{}],CUUR0000SA0L1E
2024,M01,January,,313.623,[{}],CUUR0000SA0L1E
2023,M12,December,,311.907,[{}],CUUR0000SA0L1E
2023,M11,November,,311.606,[{}],CUUR0000SA0L1E
2023,M10,October,,311.380,[{}],CUUR0000SA0L1E
2023,M09,September,,310.817,[{}],CUUR0000SA0L1E
2023,M08,August,,310.103,[{}],CUUR0000SA0L1E
2023,M07,July,,309.402,[{}],CUUR0000SA0L1E
2023,M06,June,,308.910,[{}],CUUR0000SA0L1E
2023,M05,May,,308.096,[{}],CUUR0000SA0L1E
2023,M04,April,,306.899,[{}],CUUR0000SA0L1E
2023,M03,March,,305.476,[{}],CUUR0000SA0L1E
2023,M02,February,,304.011,[{}],CUUR0000SA0L1E
2023,M01,January,,301.962,[{}],CUUR0000SA0L1E
2022,M12,December,,300.113,[{}],CUUR0000SA0L1E
2022,M11,November,,299.600,[{}],CUUR0000SA0L1E
2022,M10,October,,299.315,[{}],CUUR0000SA0L1E
2022,M09,September,,298.442,[{}],CUUR0000SA0L1E
2022,M08,August,,297.178,[{}],CUUR0000SA0L1E
2022,M07,July,,295.646,[{}],CUUR0000SA0L1E
2022,M06,June,,294.680,[{}],CUUR0000SA0L1E
2022,M05,May,,292.506,[{}],CUUR0000SA0L1E
2022,M04,April,,290.846,[{}],CUUR0000SA0L1E
2022,M03,March,,289.305,[{}],CUUR0000SA0L1E
2022,M02,February,,288.059,[{}],CUUR0000SA0L1E
2022,M01,January,,285.996,[{}],CUUR0000SA0L1E
2021,M12,December,,283.908,[{}],CUUR0000SA0L1E
2021,M11,November,,282.754,[{}],CUUR0000SA0L1E
2021,M10,October,,281.617,[{}],CUUR0000SA0L1E
2021,M09,September,,279.884,[{}],CUUR0000SA0L1E
2021,M08,August,,279.507,[{}],CUUR0000SA0L1E
2021,M07,July,,279.146,[{}],CUUR0000SA0L1E
2021,M06,June,,278.218,[{}],CUUR0000SA0L1E
2021,M05,May,,275.893,[{}],CUUR0000SA0L1E
2021,M04,April,,273.968,[{}],CUUR0000SA0L1E
2021,M03,March,,271.713,[{}],CUUR0000SA0L1E
2021,M02,February,,270.696,[{}],CUUR0000SA0L1E
2021,M01,January,,269.755,[{}],CUUR0000SA0L1E
2020,M12,December,,269.226,[{}],CUUR0000SA0L1E
2020,M11,November,,269.473,[{}],CUUR0000SA0L1E
2020,M10,October,,269.328,[{}],CUUR0000SA0L1E
2020,M09,September,,269.054,[{}],CUUR0000SA0L1E
2020,M08,August,,268.756,[{}],CUUR0000SA0L1E
2020,M07,July,,267.703,[{}],CUUR0000SA0L1E
2020,M06,June,,266.302,[{}],CUUR0000SA0L1E
2020,M05,May,,265.799,[{}],CUUR0000SA0L1E
2020,M04,April,,266.089,[{}],CUUR0000SA0L1E
2020,M03,March,,267.312,[{}],CUUR0000SA0L1E
2020,M02,February,,267.268,[{}],CUUR0000SA0L1E
2020,M01,January,,266.004,[{}],CUUR0000SA0L1E
